id,正文,原始图片url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,是否原创,原始用户id,原始用户昵称,原始微博id,原始微博正文,原始微博原始图片url,原始微博位置,原始微博日期,原始微博工具,原始微博点赞数,原始微博评论数,原始微博转发数,原始微博话题,原始微博@用户
4390996001242484,看出雷很简单，难得是怎么装着不明白先把抱团时候利润吃了在出事前跑出来。,,,2019-07-06 10:02,iPhone X(深空灰),16,1,1,,,False,2635695961,老曾阿牛,4390967521584877,对于我来说，不踩康美的雷太简单，这样的中药股本来我就视为大忽悠，还种埋在地下看不见的人参，跟獐子岛的扇贝一样不可测。至于回避康得新有点难度，只是在一个这样冷门的小行业有如此高的利润，很反常。 ,,,2019-07-06 09:07,HUAWEI Mate 20 X,105,50,30,,
4390985012208915,少年派里那个状元他爸是不是瞎啊 ,,,2019-07-06 09:18,iPhone X(深空灰),45,17,1,,,True
4390960043601393,股瞎财经一哥不可动摇了,,,2019-07-06 08:07,iPhone X(深空灰),74,51,9,,,False,1896820725,天津股侠,4390945065283950,28位了，目前全网前三名都是快手大网红，侠家军能再使点劲，给侠哥拱进前20，超过杨九郎吗？ ,"https://wx3.sinaimg.cn/large/710f2ff5ly1g4pq4ehgalj20u01q84aw.jpg,https://wx2.sinaimg.cn/large/710f2ff5ly1g4pq4escoej20u01q87ff.jpg,https://wx2.sinaimg.cn/large/710f2ff5ly1g4pq4f49kgj20u01q8k3z.jpg",,2019-07-06 07:07,天津股侠Android,783,96,15,,
4390845434090061,我在2019#超级红人节#活动中，为超红人气榜的 @程老湿爱吐槽 投出了宝贵10票！谁是你心目中的人气红人？猛戳#超级红人节#投票，最具人气红人由你决定！程老湿爱吐槽 ,,,2019-07-06 00:07,微博品牌活动,109,61,13,"超级红人节,超级红人节",程老湿爱吐槽,True
4390827016997071,经营者责任，所以以后这些地方垃圾桶会极其少，现在已经这样了，拿个香蕉皮走一刻钟扔不掉不是笑话，其实日本也这样,,,2019-07-05 23:07,iPhone X(深空灰),90,23,21,,,False,1669616825,程老湿爱吐槽,4390826241080970,问题：如果在商场或公园或餐馆的垃圾筒未按照垃圾分类扔垃圾🚮，那么，责任方是顾客游客食客，还是经营者？如果责任归属是顾客游客食客，经营者有监督权吗？是不是还需要弄个摄像头监控撒的？如果责任归属是经营者，那么以后这些地方还会有垃圾筒吗？请先进代表 @Kevinqin008 作答 ,https://wx3.sinaimg.cn/large/638454b9gy1g4pclt1hrdj20v91voe83.jpg,,2019-07-05 23:07,iPhone X,79,19,24,,Kevinqin008
4390826102279020,米国降息预期还是太高了，都PRIZEIN了。七月会议这就尴尬了，必须降50才会利好，25都会跌了。 ,,,2019-07-05 23:07,iPhone X(深空灰),141,23,8,,,True
4390823543829194,为什么我这里来是有防脱发广告,,,2019-07-05 23:07,iPhone X(深空灰),70,20,7,,,False,2861590343,绵州一哥,4390816606383582,我不知道微博这个“分享”功能是怎么个算法和如何收费的？天天被各种宣传炒股多牛的困扰，你还没法屏蔽。。。最主要是还是视频，还不经意间就给你跳出来，挺吓人的。。。不过想想自己发的内容，算法也算进步了，毕竟之前都给我分享的是去螨，挤粉刺，防脱发的。。。这就一点不挨边了。。别的人到还好，怎么最近严为民老师也沦落到这种了？记得09年之前挺喜欢看严老师股评的，也经常去老左节目，还有一个自己的叫五谷丰登，好像是，湖北台。时间过的真快，一晃十年了。09年后我就没看过电视上的股评，最近也是为了看008理发没有，才看了几次。,,,2019-07-05 23:07,iPhone X,20,17,11,,
4390822025456587,回复@满融一把梭:你以为这个价格你能研究出什么？//@满融一把梭:不研究个股，大面积扫射?//@Kevinqin008:回复@herman张弦2013:目前我的计划是每个买十万，体验下，新玩意不参与不行，瞎参与是赌博//@herman张弦2013:奶妈 第一天你冲进去搏杀吗,,,2019-07-05 23:07,iPhone X(深空灰),101,19,7,,"满融一把梭,满融一把梭,Kevinqin008,herman张弦2013,herman张弦2013",False,5705221157,Kevinqin008,4390805500551911,我承认当初科创消息出来，一直很期待T+0，主要因为当时一屁股圈，其次是想反正以后要接轨为什么不试点，然而最近这种柚子神经化的市场，想想很可怕，如果科创T+0，第一天二十多只的成交可能超过其他所有股票的总和。不要认为我在吹牛，这可能很大。那个消耗真的太可怕了。 ,,,2019-07-05 22:07,iPhone X(深空灰),202,50,23,,
4390806767511808,回复@herman张弦2013:目前我的计划是每个买十万，体验下，新玩意不参与不行，瞎参与是赌博//@herman张弦2013:奶妈 第一天你冲进去搏杀吗,,,2019-07-05 22:07,iPhone X(深空灰),120,30,14,,"herman张弦2013,herman张弦2013",False,5705221157,Kevinqin008,4390805500551911,我承认当初科创消息出来，一直很期待T+0，主要因为当时一屁股圈，其次是想反正以后要接轨为什么不试点，然而最近这种柚子神经化的市场，想想很可怕，如果科创T+0，第一天二十多只的成交可能超过其他所有股票的总和。不要认为我在吹牛，这可能很大。那个消耗真的太可怕了。 ,,,2019-07-05 22:07,iPhone X(深空灰),202,50,23,,
4390806238628022,又完了一个，还有个康咋办？,,,2019-07-05 22:07,iPhone X(深空灰),97,23,7,,,False,1988800805,凤凰网财经,4390800492093079,【深交所：如证监会对*ST康得作出最终行政处罚决定 将启动强制退市流程 7月8起停牌】7月5日，*ST康得收到中国证监会行政处罚事先告知书。公司公告称，根据事先告知书认定的事实，公司2015年至2018年连续四年净利润实际为负，触及相关重大违法强制退市情形，公司股票可能被实施重大违法强制退市，股票自2019年7月8日起停牌。深交所将持续密切关注*ST康得后续进展，如证监会对*ST康得作出上述最终行政处罚决定，深交所将第一时间启动公司重大违法强制退市流程。深交所：如证监会对*ST康得作出最终行政处罚决定 将启动强制退市流程,https://wx1.sinaimg.cn/large/768ab125ly1g4p9kzaovuj20j60j6wqn.jpg,,2019-07-05 21:07,,24,30,28,,
4390805500551911,我承认当初科创消息出来，一直很期待T+0，主要因为当时一屁股圈，其次是想反正以后要接轨为什么不试点，然而最近这种柚子神经化的市场，想想很可怕，如果科创T+0，第一天二十多只的成交可能超过其他所有股票的总和。不要认为我在吹牛，这可能很大。那个消耗真的太可怕了。 ,,,2019-07-05 22:07,iPhone X(深空灰),202,50,23,,,True
4390803910661412,对他们不满意了是吧？给一群不需要现金的消费企业疯狂送钱，需要钱的地方怕的🐶一样，服务实体经济是这么服务的吗，是个警告，但是咱等着看实际效果。咱也打不赢，咱也不加入。,,,2019-07-05 22:07,iPhone X(深空灰),141,30,36,,,False,2868676035,财联社APP,4390789679085724,易会满主持召开证券基金经营机构座谈会，着力推动权益类基金的发展。 ,"https://wx4.sinaimg.cn/large/aafc85c3gy1g4p8g3brhjj20ku17fgsh.jpg,https://wx2.sinaimg.cn/large/aafc85c3gy1g4p8howaj5j20ku11uafl.jpg,https://wx3.sinaimg.cn/large/aafc85c3gy1g4p8krq93xj20ku13dn2q.jpg,https://wx3.sinaimg.cn/large/aafc85c3gy1g4p8tna6vlj20fa5bphaq.jpg,https://wx4.sinaimg.cn/large/aafc85c3gy1g4p8rycpgjj20fa3uvh2m.jpg",,2019-07-05 21:07,iPhone客户端,14,10,84,,
4390802492623279,喜欢35的怎么办,,,2019-07-05 22:07,iPhone X(深空灰),83,31,10,,,False,1669616825,程老湿爱吐槽,4390798936077014,25岁和35岁的区别  ,"https://wx1.sinaimg.cn/large/638454b9gy1g4p9cpwmucj21ej0u0qv5.jpg,https://wx1.sinaimg.cn/large/638454b9gy1g4p9cto7w5j21ra0u0hdt.jpg",,2019-07-05 21:07,微博 weibo.com,92,41,21,,
4390802379708490,目前看黄金的美元逻辑很明显，非避险,,,2019-07-05 22:07,iPhone X(深空灰),95,14,8,,,False,6579695803,一只狗大V,4390800748506937,黄金触碰到跌停价，谁挂钓鱼单了？这鱼好大 ,https://wx2.sinaimg.cn/large/007bhJrRgy1g4p9lxe2vpj315f0e6752.jpg,,2019-07-05 21:07,微博 weibo.com,5,0,9,,
4390783740761651,SHAN第四声，这个很普遍啊。你宫斗剧看少了,,,2019-07-05 20:07,iPhone X(深空灰),74,13,1,,,False,1669616825,程老湿爱吐槽,4390766824602578,封禅的“禅”该怎么读？ 长知识了，竟然是多音字 ,https://wx3.sinaimg.cn/large/638454b9gy1g4p5pexm37j21dn0u07wi.jpg,,2019-07-05 19:07,微博 weibo.com,79,45,3,,
4390763154576958,七月22日，和早期预计差不多，还有两周很无聊啊。 ,,,2019-07-05 19:07,iPhone X(深空灰),138,30,4,,,True
4390745676862295,俺们屯就你一个独苗啊，过十二点我还发微博代人帮你撑场子,,,2019-07-05 18:07,iPhone X(深空灰),145,25,5,,,False,1669616825,程老湿爱吐槽,4390744783207565,谢谢 @Kevinqin008 @布莱德雷将军 @作手泽文  诸位及众网友半夜三更给我投票 昨天睡的早，一大早起来开黑车，所以不知道发生了什么事，这会儿才看到   ,,,2019-07-05 18:07,微博 weibo.com,139,38,10,,"Kevinqin008,布莱德雷将军,作手泽文"
